Time,prey,predator
73.57357357,3.25000002,14.99999997
73.67367367,3.25000002,14.99999996
73.77377377,3.25000002,14.99999996
73.87387387,3.25000002,14.99999996
73.97397397,3.25000002,14.99999996
74.07407407,3.25000002,14.99999996
74.17417417,3.25000002,14.99999996
74.27427427,3.25000002,14.99999996
74.37437437,3.25000002,14.99999996
74.47447447,3.25000002,14.99999996
74.57457457,3.25000002,14.99999996
74.67467467,3.25000002,14.99999996
74.77477477,3.25000002,14.99999996
74.87487487,3.25000002,14.99999996
74.97497497,3.25000002,14.99999995
75.07507508,3.25000003,14.99999995
75.17517518,3.25000003,14.99999995
75.27527528,3.25000003,14.99999994
75.37537538,3.25000003,14.99999994
75.47547548,3.25000003,14.99999993
75.57557558,3.25000004,14.99999993
75.67567568,3.25000004,14.99999993
75.77577578,3.25000004,14.99999992
75.87587588,3.25000004,14.99999992
75.97597598,3.25000004,14.99999991
76.07607608,3.25000005,14.99999991
76.17617618,3.25000005,14.99999991
76.27627628,3.25000005,14.99999990
76.37637638,3.25000005,14.99999990
76.47647648,3.25000005,14.99999989
76.57657658,3.25000006,14.99999989
